275;422
276;426
211;113
279;80
454;326
465;139
270;456
489;335
280;266
402;300
217;249
297;77
315;280
250;466
482;336
529;361
214;224
188;347
386;104
338;114
292;77
414;464
218;199
461;303
201;458
362;155
185;242
304;253
414;57
141;353
233;279
375;394
141;354
390;113
414;57
276;269
346;176
191;185
419;366
494;295
334;472
226;452
448;207
390;249
436;270
422;198
313;474
389;291
306;250
354;245
313;37
518;380
477;419
411;113
514;351
453;322
211;113
283;175
147;244
255;473
525;312
361;216
251;420
478;418
438;475
269;171
418;100
483;336
378;205
372;402
511;351
534;393
357;341
404;85
205;275
422;309
197;343
466;126
392;152
235;91
142;372
359;217
419;366
221;203
310;213
288;448
444;469
438;147
216;388
193;248
453;177
216;389
158;406
335;473
441;380
262;353
292;452
478;185
297;126
257;350
424;426
437;145
476;413
497;241
388;83
347;246
313;36
297;126
389;373
453;279
409;344
192;184
306;83
231;397
270;260
235;401
370;452
390;110
404;83
340;356
438;82
276;172
189;242
435;424
262;392
377;277
525;312
422;425
149;298
420;398
318;365
542;366
317;369
267;335
273;53
414;420
407;336
376;272
351;283
286;169
273;52
467;392
425;200
235;162
245;177
216;225
374;451
491;153
364;133
207;93
436;79
315;329
312;399
436;270
373;329
399;271
381;444
262;128
309;209
444;442
152;296
404;303
236;90
380;80
452;324
245;56
331;353
235;162
264;477
482;109
437;80
224;430
280;438
267;226
481;258
336;363
312;333
394;465
157;282
286;370
408;335
499;219
164;251
454;90
262;427
456;349
126;320
306;178
220;465
171;164
439;358
194;390
225;224
192;343
180;207
345;321
158;212
409;117
438;329
192;389
451;255
394;465
516;378
157;405
158;282
203;464
271;182
286;370
255;260
185;401
386;217
489;333
349;172
483;254
301;194
316;376
320;141
452;461
363;405
317;376
366;42
276;411
364;133
402;53
221;433
369;236
491;156
241;176
521;378
466;225
261;127
276;428
394;383
269;332
373;403
320;140
333;434
260;448
348;421
452;255
482;109
413;131
216;466
236;279
378;205
432;71
524;312
266;434
482;449
363;310
424;207
271;336
496;436
225;224
325;419
235;129
540;333
332;248
235;126
463;390
383;259
318;139
332;438
350;88
235;280
178;451
246;484
502;352
331;228
246;174
338;114
410;378
457;148
379;81
287;208
387;178
434;286
496;265
426;299
462;309
366;388
322;251
254;171
345;346
264;95
351;115
330;221
276;408
199;300
456;146
318;280
196;436
312;333
413;464
167;249
393;188
323;313
436;329
487;328
436;269
356;81
357;371
466;388
362;407
282;462
332;201
542;366
226;449
222;422
350;478
266;276
133;348
449;230
